address,area,date,demanded_price,final_price,monthly_fee,operating_cost,price_per_squaremeter,room_number,title,url,year_of_construction
Luxgatan 7,30,2021-01-13,2350000,2550000,1733,6096,85000,1 rum,"Luxgatan 7 - Såld bostadsrättslägenhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet",https://www.hemnet.se/salda/lagenhet-1rum-lilla-essingen-kungsholmen-stockholms-kommun-luxgatan-7-1313676,1937
"Primusgatan 108, 6/6 tr",101,2021-01-10,11400000,11400000,5887,5540,112871,4 rum,"Primusgatan 108, 6/6 tr - Såld bostadsrättslägenhet - Kungsholmen / Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-4rum-kungsholmen-lilla-essingen-stockholms-kommun-primusgatan-108,-6-6-tr-1312380",1935
"Strålgatan 47, 3 tr",31,2021-01-08,2595000,2875000,2471,3200,92742,2 rum,"Strålgatan 47, 3 tr  - Såld bostadsrättslägenhet - Lilla Essingen - Kungsholmen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-stralgatan-47,-3-tr-1312152",1939
Disponentgatan 1,46,2021-01-08,3550000,3550000,3003,12979,77174,"2,5 rum","Disponentgatan 1 - Såld bostadsrättslägenhet - Lilla Essingen, STOCKHOLM - Hemnet","https://www.hemnet.se/salda/lagenhet-2,5rum-lilla-essingen-stockholms-kommun-disponentgatan-1-1312061",1935
Essinge Brogata 12,0,2021-01-08,2495000,2900000,2162,4200,84058,2 rum,"Essinge Brogata 12 - Såld bostadsrättslägenhet - Kungsholmen - Lilla Essingen, Stockholm - Hemnet",https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-lilla-essingen-stockholms-kommun-essinge-brogata-12-1311880,1934
"Essinge Brogata 39, 2 tr",23,2020-12-14,1895000,2205000,1787,3600,95870,1 rum,"Essinge Brogata 39, 2 tr  - Såld bostadsrättslägenhet - Lilla Essingen - Kungsholmen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-1rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-39,-2-tr-1305647",1938
Strålgatan 47,40,2020-12-11,2595000,2850000,2957,4860,71250,2 rum,"Strålgatan 47 - Såld bostadsrättslägenhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet",https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-stralgatan-47-1302841,1939
"Patentgatan 1, 3tr",69,2020-12-04,5995000,6400000,3778,7200,92754,3 rum,"Patentgatan 1, 3tr - Såld bostadsrättslägenhet - Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-stockholms-kommun-patentgatan-1,-3tr-1299622",2006
"Primusgatan 82, 6tr",0,2020-12-03,8495000,8495000,4828,7800,100533,3 rum,"Primusgatan 82, 6tr - Såld bostadsrättslägenhet - Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-stockholms-kommun-primusgatan-82,-6tr-1299073",2004
"Primusgatan 81, vån 4",96,2020-12-01,8495000,9250000,4793,6860,96354,4 rum,"Primusgatan 81, vån 4 - Såld bostadsrättslägenhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-4rum-lilla-essingen-kungsholmen-stockholms-kommun-primusgatan-81,-van-4-1298651",2004
"Strålgatan 23, 4 tr",33,2020-12-01,2650000,2900000,2362,4000,87879,2 rum,"Strålgatan 23, 4 tr - Såld bostadsrättslägenhet - Lilla Essingen - Kungsholmen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-stralgatan-23,-4-tr-1298222",1938
